Slug,Product Name,Simplified Search Keywords,US ASIN,UK ASIN,CA ASIN,DE ASIN,FR ASIN,IT ASIN,ES ASIN,Notes
graco-duoglider-swing-review,Graco Duoglider Swing,Graco Duoglider Swing,,,,,,,,
graco-soothing-system-glider-review,Graco Soothing System Glider,Graco Soothing System Glider,,,,,,,,
ingenuity-convertme-swing-review,Ingenuity Convertme Swing,Ingenuity Convertme Swing,,,,,,,,
braun-thermoscan-7-review,Braun Thermoscan 7,Braun Thermoscan 7,,,,,,,,
exergen-temporal-artery-thermometer-review,Exergen Temporal Artery Thermometer,Exergen Temporal Artery Thermometer,,,,,,,,
frida-baby-3-in-1-thermometer-review,Frida Baby 3 In 1 Thermometer,Frida Baby 3 In 1 Thermometer,,,,,,,,
frida-baby-quick-read-thermometer-review,Frida Baby Quick Read Thermometer,Frida Baby Quick Read Thermometer,,,,,,,,
iproven-dmt-489-thermometer-review,Iproven Dmt 489 Thermometer,Iproven Dmt 489 Thermometer,,,,,,,,
kinsa-quickcare-thermometer-review,Kinsa Quickcare Thermometer,Kinsa Quickcare Thermometer,,,,,,,,
safety-1st-gentle-read-thermometer-review,Safety 1St Gentle Read Thermometer,Safety 1St Gentle Read Thermometer,,,,,,,,
vicks-comfortflex-thermometer-review,Vicks Comfortflex Thermometer,Vicks Comfortflex Thermometer,,,,,,,,
boon-pipes-bath-toy-review,Boon Pipes Bath Toy,Boon Pipes Bath Toy,,,,,,,,
green-toys-tug-boat-review,Green Toys Tug Boat,Green Toys Tug Boat,,,,,,,,
munchkin-bath-crayons-review,Munchkin Bath Crayons,Munchkin Bath Crayons,,,,,,,,
munchkin-sea-squirts-bath-toy-review,Munchkin Sea Squirts Bath Toy,Munchkin Sea Squirts Bath Toy,,,,,,,,
nuby-octopus-bath-toy-review,Nuby Octopus Bath Toy,Nuby Octopus Bath Toy,,,,,,,,
skip-hop-moby-bath-spout-cover-review,Skip Hop Moby Bath Spout Cover,Skip Hop Moby Bath Spout Cover,,,,,,,,
elvie-stride-review,Elvie Stride,Elvie Stride,,,,,,,,
haakaa-silicone-breast-pump-review,Haakaa Silicone Breast Pump,Haakaa Silicone Breast Pump,,,,,,,,
lansinoh-signature-pro-pump-review,Lansinoh Signature Pro Pump,Lansinoh Signature Pro Pump,,,,,,,,
medela-pump-in-style-review,Medela Pump In Style,Medela Pump In Style,,,,,,,,
spectra-s1-plus-review,Spectra S1 Plus,Spectra S1 Plus,,,,,,,,
spectra-s2-plus-review,Spectra S2 Plus,Spectra S2 Plus,,,,,,,,
willow-3-wearable-breast-pump-review,Willow 3 Wearable Breast Pump,Willow 3 Wearable Breast Pump,,,,,,,,
britax-one4life-review,Britax One4Life,Britax One4Life,,,,,,,,
chicco-keyfit-35-review,Chicco Keyfit 35,Chicco Keyfit 35,,,,,,,,
evenflo-everystage-dlx-review,Evenflo Everystage Dlx,Evenflo Everystage Dlx,,,,,,,,
graco-4ever-dlx-review,Graco 4Ever Dlx,Graco 4Ever Dlx,,,,,,,,
maxi-cosi-pria-all-in-one-review,Maxi Cosi Pria All In One,Maxi Cosi Pria All In One,,,,,,,,
nuna-rava-convertible-review,Nuna Rava Convertible,Nuna Rava Convertible,,,,,,,,
babyletto-hudson-crib-review,Babyletto Hudson Crib,Babyletto Hudson Crib,,,,,,,,
davinci-kalani-4-in-1-crib-review,Davinci Kalani 4 In 1 Crib,Davinci Kalani 4 In 1 Crib,,,,,,,,
delta-children-emery-crib-review,Delta Children Emery Crib,Delta Children Emery Crib,,,,,,,,
graco-hadley-4-in-1-crib-review,Graco Hadley 4 In 1 Crib,Graco Hadley 4 In 1 Crib,,,,,,,,
ikea-sundvik-crib-review,Ikea Sundvik Crib,Ikea Sundvik Crib,,,,,,,,
snoo-smart-sleeper-review,Snoo Smart Sleeper,Snoo Smart Sleeper,,,,,,,,
storkcraft-tuscany-4-in-1-crib-review,Storkcraft Tuscany 4 In 1 Crib,Storkcraft Tuscany 4 In 1 Crib,,,,,,,,
carter-s-city-mesh-backpack-review,Carter S City Mesh Backpack,Carter S City Mesh Backpack,,,,,,,,
fawn-design-original-diaper-bag-review,Fawn Design Original Diaper Bag,Fawn Design Original Diaper Bag,,,,,,,,
freshly-picked-classic-diaper-bag-review,Freshly Picked Classic Diaper Bag,Freshly Picked Classic Diaper Bag,,,,,,,,
itzy-ritzy-boss-plus-backpack-review,Itzy Ritzy Boss Plus Backpack,Itzy Ritzy Boss Plus Backpack,,,,,,,,
jujube-bff-diaper-bag-review,Jujube Bff Diaper Bag,Jujube Bff Diaper Bag,,,,,,,,
petunia-pickle-bottom-boxy-backpack-review,Petunia Pickle Bottom Boxy Backpack,Petunia Pickle Bottom Boxy Backpack,,,,,,,,
skip-hop-forma-backpack-review,Skip Hop Forma Backpack,Skip Hop Forma Backpack,,,,,,,,
dekor-classic-diaper-pail-review,Dekor Classic Diaper Pail,Dekor Classic Diaper Pail,,,,,,,,
diaper-genie-complete-review,Diaper Genie Complete,Diaper Genie Complete,,,,,,,,
munchkin-arm-hammer-diaper-pail-review,Munchkin Arm Hammer Diaper Pail,Munchkin Arm Hammer Diaper Pail,,,,,,,,
munchkin-step-diaper-pail-review,Munchkin Step Diaper Pail,Munchkin Step Diaper Pail,,,,,,,,
safety-1st-easy-saver-pail-review,Safety 1St Easy Saver Pail,Safety 1St Easy Saver Pail,,,,,,,,
tommee-tippee-twist-click-review,Tommee Tippee Twist Click,Tommee Tippee Twist Click,,,,,,,,
ubbi-steel-diaper-pail-review,Ubbi Steel Diaper Pail,Ubbi Steel Diaper Pail,,,,,,,,
4moms-connect-high-chair-review,4Moms Connect High Chair,4Moms Connect High Chair,,,,,,,,
baby-trend-sit-right-high-chair-review,Baby Trend Sit Right High Chair,Baby Trend Sit Right High Chair,,,,,,,,
chicco-polly-progress-5-in-1-review,Chicco Polly Progress 5 In 1,Chicco Polly Progress 5 In 1,,,,,,,,
graco-slim-snacker-review,Graco Slim Snacker,Graco Slim Snacker,,,,,,,,
ikea-antilop-review,Ikea Antilop,Ikea Antilop,,,,,,,,
joovy-nook-high-chair-review,Joovy Nook High Chair,Joovy Nook High Chair,,,,,,,,
stokke-tripp-trapp-review,Stokke Tripp Trapp,Stokke Tripp Trapp,,,,,,,,
crane-drop-humidifier-review,Crane Drop Humidifier,Crane Drop Humidifier,,,,,,,,
fridababy-3-in-1-humidifier-review,"FridaBaby 3-in-1 Humidifier, Diffuser and Nightlight","FridaBaby 3-in-1 Humidifier, Diffuser and Nightlight",,,,,,,,
honeywell-hcm350w-humidifier-review,Honeywell Hcm350W Humidifier,Honeywell Hcm350W Humidifier,,,,,,,,
levoit-lv600hh-humidifier-review,Levoit Lv600Hh Humidifier,Levoit Lv600Hh Humidifier,,,,,,,,
pure-enrichment-mistaire-review,Pure Enrichment Mistaire,Pure Enrichment Mistaire,,,,,,,,
safety-1st-360-degree-humidifier-review,Safety 1St 360 Degree Humidifier,Safety 1St 360 Degree Humidifier,,,,,,,,
vicks-v745a-warm-mist-humidifier-review,Vicks V745A Warm Mist Humidifier,Vicks V745A Warm Mist Humidifier,,,,,,,,
arlo-baby-monitor-review,Arlo Baby Monitor,Arlo Baby Monitor,,,,,,,,
eufy-spaceview-pro-review,Eufy Spaceview Pro,Eufy Spaceview Pro,,,,,,,,
infant-optics-dxr-8-pro-review,Infant Optics Dxr 8 Pro,Infant Optics Dxr 8 Pro,,,,,,,,
nanit-pro-review,Nanit Pro,Nanit Pro,,,,,,,,
owlet-dream-sock-review,Owlet Dream Sock,Owlet Dream Sock,,,,,,,,
vtch-dm221-audio-monitor-review,Vtch Dm221 Audio Monitor,Vtch Dm221 Audio Monitor,,,,,,,,
angel-line-windsor-glider-review,Angel Line Windsor Glider,Angel Line Windsor Glider,,,,,,,,
babyletto-tuba-swivel-glider-review,Babyletto Tuba Swivel Glider,Babyletto Tuba Swivel Glider,,,,,,,,
best-choice-products-rocking-chair-review,Best Choice Products Rocking Chair,Best Choice Products Rocking Chair,,,,,,,,
davinci-olive-swivel-glider-review,Davinci Olive Swivel Glider,Davinci Olive Swivel Glider,,,,,,,,
delta-children-blair-glider-review,Delta Children Blair Glider,Delta Children Blair Glider,,,,,,,,
dutailier-glider-review,Dutailier Glider,Dutailier Glider,,,,,,,,
graco-parker-glider-review,Graco Parker Glider,Graco Parker Glider,,,,,,,,
storkcraft-hoop-glider-ottoman-review,Storkcraft Hoop Glider Ottoman,Storkcraft Hoop Glider Ottoman,,,,,,,,
boppy-original-nursing-pillow-review,Boppy Original Nursing Pillow,Boppy Original Nursing Pillow,,,,,,,,
comotomo-baby-bottle-review,Comotomo Baby Bottle,Comotomo Baby Bottle,,,,,,,,
dr-browns-natural-flow-bottle-review,Dr Browns Natural Flow Bottle,Dr Browns Natural Flow Bottle,,,,,,,,
haakaa-silicone-breast-pump-review,Haakaa Silicone Breast Pump,Haakaa Silicone Breast Pump,,,,,,,,
philips-avent-anti-colic-bottle-review,Philips Avent Anti Colic Bottle,Philips Avent Anti Colic Bottle,,,,,,,,
baby-einstein-kickin-tunes-gym-review,Baby Einstein Kickin Tunes Gym,Baby Einstein Kickin Tunes Gym,,,,,,,,
bright-starts-tummy-time-prop-play-review,Bright Starts Tummy Time Prop Play,Bright Starts Tummy Time Prop Play,,,,,,,,
fisher-price-kick-n-play-piano-gym-review,Fisher Price Kick N Play Piano Gym,Fisher Price Kick N Play Piano Gym,,,,,,,,
infantino-twist-fold-gym-review,Infantino Twist Fold Gym,Infantino Twist Fold Gym,,,,,,,,
lovevery-play-gym-review,Lovevery Play Gym,Lovevery Play Gym,,,,,,,,
skip-hop-explore-play-mat-review,Skip Hop Explore Play Mat,Skip Hop Explore Play Mat,,,,,,,,
tiny-love-meadow-days-gym-review,Tiny Love Meadow Days Gym,Tiny Love Meadow Days Gym,,,,,,,,
babybjorn-potty-chair-review,Babybjorn Potty Chair,Babybjorn Potty Chair,,,,,,,,
fisher-price-learn-to-flush-potty-review,Fisher Price Learn To Flush Potty,Fisher Price Learn To Flush Potty,,,,,,,,
jool-baby-potty-seat-review,Jool Baby Potty Seat,Jool Baby Potty Seat,,,,,,,,
munchkin-sturdy-potty-seat-review,Munchkin Sturdy Potty Seat,Munchkin Sturdy Potty Seat,,,,,,,,
oxo-tot-2-in-1-potty-review,Oxo Tot 2 In 1 Potty,Oxo Tot 2 In 1 Potty,,,,,,,,
summer-infant-my-size-potty-review,Summer Infant My Size Potty,Summer Infant My Size Potty,,,,,,,,
contigo-stainless-sippy-cup-review,Contigo Stainless Sippy Cup,Contigo Stainless Sippy Cup,,,,,,,,
munchkin-miracle-360-cup-review,Munchkin Miracle 360 Cup,Munchkin Miracle 360 Cup,,,,,,,,
nuby-silicone-sippy-cup-review,Nuby Silicone Sippy Cup,Nuby Silicone Sippy Cup,,,,,,,,
oxo-tot-transitions-sippy-cup-review,Oxo Tot Transitions Sippy Cup,Oxo Tot Transitions Sippy Cup,,,,,,,,
pura-kiki-stainless-sippy-cup-review,Pura Kiki Stainless Sippy Cup,Pura Kiki Stainless Sippy Cup,,,,,,,,
re-play-no-spill-sippy-cup-review,Re Play No Spill Sippy Cup,Re Play No Spill Sippy Cup,,,,,,,,
thermos-foogo-sippy-cup-review,Thermos Foogo Sippy Cup,Thermos Foogo Sippy Cup,,,,,,,,
tommee-tippee-first-sips-review,Tommee Tippee First Sips,Tommee Tippee First Sips,,,,,,,,
aden-anais-sleeping-bag-review,Aden Anais Sleeping Bag,Aden Anais Sleeping Bag,,,,,,,,
baby-merlins-magic-sleepsuit-review,Baby Merlins Magic Sleepsuit,Baby Merlins Magic Sleepsuit,,,,,,,,
burts-bees-beekeeper-wearable-blanket-review,Burts Bees Beekeeper Wearable Blanket,Burts Bees Beekeeper Wearable Blanket,,,,,,,,
dreamland-baby-weighted-sleep-sack-review,Dreamland Baby Weighted Sleep Sack,Dreamland Baby Weighted Sleep Sack,,,,,,,,
ergobaby-swaddler-review,Ergobaby Swaddler,Ergobaby Swaddler,,,,,,,,
halo-sleepsack-swaddle-review,Halo Sleepsack Swaddle,Halo Sleepsack Swaddle,,,,,,,,
love-to-dream-swaddle-up-review,Love To Dream Swaddle Up,Love To Dream Swaddle Up,,,,,,,,
nested-bean-zen-sack-review,Nested Bean Zen Sack,Nested Bean Zen Sack,,,,,,,,
swaddleme-original-swaddle-review,Swaddleme Original Swaddle,Swaddleme Original Swaddle,,,,,,,,
woolino-4-season-sleep-bag-review,Woolino 4 Season Sleep Bag,Woolino 4 Season Sleep Bag,,,,,,,,
woolino-merino-sleep-bag-toddler-review,Woolino Merino Sleep Bag Toddler,Woolino Merino Sleep Bag Toddler,,,,,,,,
baby-jogger-city-mini-gt2-review,Baby Jogger City Mini Gt2,Baby Jogger City Mini Gt2,,,,,,,,
babyzen-yoyo2-stroller-review,Babyzen Yoyo2 Stroller,Babyzen Yoyo2 Stroller,,,,,,,,
bugaboo-fox-5-review,Bugaboo Fox 5,Bugaboo Fox 5,,,,,,,,
chicco-bravo-trio-travel-system-review,Chicco Bravo Trio Travel System,Chicco Bravo Trio Travel System,,,,,,,,
doona-infant-car-seat-stroller-review,Doona Infant Car Seat Stroller,Doona Infant Car Seat Stroller,,,,,,,,
graco-modes-pramette-travel-system-review,Graco Modes Pramette Travel System,Graco Modes Pramette Travel System,,,,,,,,
joovy-caboose-ultralight-review,Joovy Caboose Ultralight,Joovy Caboose Ultralight,,,,,,,,
uppababy-vista-v2-review,Uppababy Vista V2,Uppababy Vista V2,,,,,,,,
baby-banana-toothbrush-teether-review,Baby Banana Toothbrush Teether,Baby Banana Toothbrush Teether,,,,,,,,
comotomo-teether-review,Comotomo Teether,Comotomo Teether,,,,,,,,
manhattan-toy-winkel-rattle-review,Manhattan Toy Winkel Rattle,Manhattan Toy Winkel Rattle,,,,,,,,
munchkin-latch-teether-review,Munchkin Latch Teether,Munchkin Latch Teether,,,,,,,,
nuby-icybite-teething-keys-review,Nuby Icybite Teething Keys,Nuby Icybite Teething Keys,,,,,,,,
razberry-teether-review,Razberry Teether,Razberry Teether,,,,,,,,
sophie-la-girafe-teether-review,Sophie La Girafe Teether,Sophie La Girafe Teether,,,,,,,,
big-red-rooster-6-sound-machine-review,Big Red Rooster 6 Sound Machine,Big Red Rooster 6 Sound Machine,,,,,,,,
dreamegg-d1-pro-white-noise-review,Dreamegg D1 Pro White Noise,Dreamegg D1 Pro White Noise,,,,,,,,
hatch-rest-2nd-gen-review,Hatch Rest 2Nd Gen,Hatch Rest 2Nd Gen,,,,,,,,
lectrofan-classic-review,Lectrofan Classic,Lectrofan Classic,,,,,,,,
lectrofan-micro2-review,Lectrofan Micro2,Lectrofan Micro2,,,,,,,,
marpac-rohm-portable-review,Marpac Rohm Portable,Marpac Rohm Portable,,,,,,,,
